Prop Name,RRC Lease#,Lease Type,Lease # RRC Format,County Name,County Code,Type 11 [Y/N],Expiration,Eligibility for Current Month [Y/N],Type 11 Exemption Expiration Date,Type 3 [Y/N],Expiration.1,Eligibility,Type 5 [Y/N],Expiration.2,Eligibility.1,Other Exemption
ACELA SAN CRISTOBAL #1,250452,GAS,250452,Zapata,253,,,,,,,,,,,
Alice Tait 3,158093,GAS,158093,Colorado,45,,,,,,,,,,,
ASHBY 1,221766,GAS,221766,Rusk,201,,,,,,,,,,,
Ashby 1 CV,209881,GAS,209881,Rusk,201,,,,,,,,,,,
ASHBY 2,233176,GAS,233176,Rusk,201,,,,,,,,,,,
"Baines, WM 1",10357,OIL,10357,San Patricio,205,,,,,,,,,,,
"Baines, WM 2",10357,OIL,10357,San Patricio,205,,,,,,,,,,,
"Baines, WM 3",10357,OIL,10357,San Patricio,205,,,,,,,,,,,
BASSETT WILLIAM P GU 6,190992,GAS,190992,Rusk,201,,,,,,,,,,,
Ben Shelton 6,9393,OIL,9393,Victoria,235,,,,,,,,,,,
Ben Shelton 7,9389,OIL,9389,Victoria,235,,,,,,,,,,,
Ben Shelton 8,8901,OIL,8901,Victoria,235,,,,,,,,,,,
Berryman 1,172812,GAS,172812,Nueces,178,,,,,,,,,,,
Berryman 2,175113,GAS,175113,Nueces,178,,,,,,,,,,,
Berryman 2R,185572,GAS,185572,Nueces,178,,,,,,,,,,,
Berryman 4,182213,GAS,182213,Nueces,178,,,,,,,,,,,
Berryman 6,188123,GAS,188123,Nueces,178,,,,,,,,,,,
Berryman 7,182611,GAS,182611,Nueces,178,,,,,,,,,,,
Berryman 8,184045,GAS,184045,Nueces,178,,,,,,,,,,,
BIRD #1,287937,GAS,287937,Burleson,26,,,,,,,,,,,
BIRD #1,287985,GAS,287985,Burleson,26,,,,,,,,,,,
Bird 1,235003,GAS,235003,Live Oak,149,,,,,,,,,,,
BLANKE  1,6480,GAS,6480,Liberty,146,,,,,,,,,,,
Bonilla 1,177149,GAS,177149,Live Oak,149,,,,,,,,,,,
BP STOCKSTILL #1,254768,GAS,254768,Jasper,121,,,,,,,,,,,
BRASK RANCH 1,195944,GAS,195944,Webb,240,,,,,,,,,,,
BRASK RANCH 10,196351,GAS,196351,Webb,240,,,,,,,,,,,
BRASK RANCH 12,209649,GAS,209649,Webb,240,,,,,,,,,,,
BRASK RANCH 19,205564,GAS,205564,Webb,240,,,,,,,,,,,
BRASK RANCH 2,192473,GAS,192473,Webb,240,,,,,,,,,,,
BRASK RANCH 26,224965,GAS,224965,Webb,240,,,,,,,,,,,
BRASK RANCH 28,242281,GAS,242281,Webb,240,,,,,,,,,,,
BRASK RANCH 3,191119,GAS,191119,Webb,240,,,,,,,,,,,
BRASK RANCH 4,195149,GAS,195149,Webb,240,,,,,,,,,,,
BRASK RANCH 5,191412,GAS,191412,Webb,240,,,,,,,,,,,
BRASK STATE 1840 1,191894,GAS,191894,Webb,240,,,,,,,,,,,
BRASK STATE 1840 11,215800,GAS,215800,Webb,240,,,,,,,,,,,
BRASK STATE 1840 2,194028,GAS,194028,Webb,240,,,,,,,,,,,
BRASK STATE 1840 8,215847,GAS,215847,Webb,240,,,,,,,,,,,
BRASK STATE 1840S 3,193627,GAS,193627,Webb,240,,,,,,,,,,,
BRASK STATE 1846 1,190574,GAS,190574,Webb,240,,,,,,,,,,,
BRASK STATE 1846 2,195086,GAS,195086,Webb,240,,,,,,,,,,,
BRASK STATE 1846 4,202384,GAS,202384,Webb,240,,,,,,,,,,,
BRASK STATE 1846 5,195074,GAS,195074,Webb,240,,,,,,,,,,,
BRASK STATE 1846 7,223370,GAS,223370,Webb,240,,,,,,,,,,,
BRASK STATE 1846 8,250613,GAS,250613,Webb,240,,,,,,,,,,,
BRASK RANCH 13,209798,GAS,209798,Webb,240,,,,,,,,,,,
BRASK STATE UNIT #6,194036,GAS,194036,Webb,240,,,,,,,,,,,
Briscoe Nunley 1H,268487,GAS,268487,Webb,240,,,,,,,,,,,
Briscoe Nunley GU 1H,256687,GAS,256687,La Salle,142,,,,,,,,,,,
"BROMBURG, ET AL 1",93236,GAS,93236,Houston,113,,,,,,,,,,,
BROOKS A 2,220520,GAS,220520,Rusk,201,,,,,,,,,,,
BROOKS A 4,224182,GAS,224182,Rusk,201,,,,,,,,,,,
BROOKS A5,231588,GAS,231588,Rusk,201,,,,,,,,,,,
BROOKS A6,243222,GAS,243222,Rusk,201,,,,,,,,,,,
Broughton G U 1,45514,GAS,45514,Dewitt,62,,,,,,,,,,,
CAHOON  1,205362,GAS,205362,Liberty,146,,,,,,,,,,,
CALHOUN F D #2H,205577,GAS,205577,Grimes,93,,,,,,,,,,,
CALHOUN F D #2H,203178,GAS,203178,Grimes,93,,,,,,,,,,,
CALHOUND F D #1H,203178,GAS,203178,Grimes,93,,,,,,,,,,,
"CAMPBELL, J EST GAS UNIT 1",97772,GAS,97772,San Patricio,205,,,,,,,,,,,
CARL #1 METER,67143,GAS,67143,Bee,13,,,,,,,,,,,
CARL SMITH,80110,GAS,80110,San Patricio,205,,,,,,,,,,,
CLAY FARMS #1H,202564,GAS,202564,Burleson,26,,,,,,,,,,,
CLAY FARMS #2H,220415,GAS,220415,Burleson,26,,,,,,,,,,,
CODY GALLAGHER 1F,277550,GAS,277550,Nueces,178,,,,,,,,,,,
CROOK-HANOVER #1H,21084,OIL,21084,Burleson,26,,,,,,,,,,,
DAVIS #1,218885,GAS,218885,San Patricio,205,,,,,,,,,,,
DAVIS #2,230034,GAS,230034,San Patricio,205,,,,,,,,,,,
DENA FOREHAND 2H,264458,GAS,264458,Live Oak,149,,,,,,,,,,,
DESPAIN METER,160334,GAS,160334,Webb,240,,,,,,,,,,,
Devon 1,229993,GAS,229993,Grimes,93,,,,,,,,,,,
DOLORES,228026,GAS,228026,Lavaca,143,,,,,,,,,,,
Dorothy,156592,GAS,156592,Grimes,93,,,,,,,,,,,
DUPRIE FRENCH #1,275936,GAS,275936,San Patricio,205,,,,,,,,,,,
DUPRIE FRENCH #2,274782,GAS,274782,San Patricio,205,,,,,,,,,,,
E Baker Gas Unit 4 R/E,226073,GAS,226073,Live Oak,149,,,,,,,,,,,
EDRINGTON 1 - ESTATE#31,90536,GAS,90536,Mcmullen,162,,,,,,,,,,,
EDRINGTON 1- ESTATE #32,88329,GAS,88329,Mcmullen,162,,,,,,,,,,,
EDRINGTON1 - ESTATE #33,96139,GAS,96139,Mcmullen,162,,,,,,,,,,,
ELIZONDO et al #1,251994,GAS,251994,Zapata,253,,,,,,,,,,,
ELIZONDO etal #5,255208,GAS,255208,Zapata,253,,,,,,,,,,,
ELIZONDO etal #8,257230,GAS,257230,Zapata,253,,,,,,,,,,,
F.A.S.H. DEEP 1,215318,GAS,215318,Fort Bend,79,,,,,,,,,,,
FASH DEEP 1H,247835,GAS,247835,Fort Bend,79,,,,,,,,,,,
FENLEY #1,15752,GAS,15752,Angelina,3,,,,,,,,,,,
FENLEY #2,280067,GAS,280067,Angelina,3,,,,,,,,,,,
Foster Farms Deep 1,196848,GAS,196848,Fort Bend,79,,,,,,,,,,,
FOSTER FARMS DEEP 1H,226909,GAS,226909,Fort Bend,79,,,,,,,,,,,
Frank Smith 1,26959,OIL,26959,Houston,113,,,,,,,,,,,
FROST BANK 1,211514,GAS,211514,Duval,66,,,,,,,,,,,
FROST BANK 2,212586,GAS,212586,Duval,66,,,,,,,,,,,
Frost Bank 3,221497,GAS,221497,Duval,66,,,,,,,,,,,
Frost Bank 4,222704,GAS,222704,Duval,66,,,,,,,,,,,
Frost Bank 5,222842,GAS,222842,Duval,66,,,,,,,,,,,
FROST TRUST 17-1,208834,GAS,208834,Webb,240,,,,,,,,,,,
FROST TRUST 29-1,203510,GAS,203510,Webb,240,,,,,,,,,,,
FROST TRUST 6,153706,GAS,153706,Webb,240,,,,,,,,,,,
FROST TRUST 7,154749,GAS,154749,Webb,240,,,,,,,,,,,
G. ADAMS UNIT 1,200967,GAS,200967,Harris,101,,,,,,,,,,,
GALLAGHER B1 GU #1,195033,GAS,195033,Nueces,178,,,,,,,,,,,
GALLAGHER B1 GU #2,280703,GAS,280703,Nueces,178,,,,,,,,,,,
GALLAGHER B1 GU3,201653,GAS,201653,Nueces,178,,,,,,,,,,,
Gamble 1,26630,OIL,26630,Houston,113,,,,,,,,,,,
Gillett Unit No. 1,195480,GAS,195480,Live Oak,149,,,,,,,,,,,
GLASSCOCK RANCH 1 ,47834,GAS,47834,Colorado,45,,,,,,,,,,,
Gold Zapp #3,180578,GAS,180578,Wharton,241,,,,,,,,,,,
